compound	smiles	isoSmiles
http://www.wikidata.org/entity/Q421291		[Fe+2].O[C@H]([C@@H](O)C([O-])=O)[C@H](O)[C@H](O)CO.[O-]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
http://www.wikidata.org/entity/Q135445	CCCCCCCCCCCCCC=CCCCCCCCC	CCCCCCCCCCCCC/C=C\CCCCCCCC
http://www.wikidata.org/entity/Q139307	CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C	C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)CCC3=C
http://www.wikidata.org/entity/Q155746	CC(C=CC(C)C(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3)O)O)C	C[C@H](/C=C/[C@H](C)C(C)(C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C3C[C@H](C[C@@H](C3)O)O)C
http://www.wikidata.org/entity/Q155883	CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C
http://www.wikidata.org/entity/Q155954	CC(CN1C=NC2=C1N=CN=C2N)OCP(=O)(O)O	C[C@H](CN1C=NC2=C1N=CN=C2N)OCP(=O)(O)O
http://www.wikidata.org/entity/Q168686	CCCCCCC(CC=CCCCCCCCC(=O)O)O.C(C(CO)O)O	CCCCCCC(C/C=C\CCCCCCCC(=O)O)O.C(C(CO)O)O
http://www.wikidata.org/entity/Q168790	CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O	C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O
http://www.wikidata.org/entity/Q169326	CC1CCCC(=O)CCCC=CC2=CC(=CC(=C2C(=O)O1)O)O	C[C@H]1CCCC(=O)CCC/C=C/C2=CC(=CC(=C2C(=O)O1)O)O
http://www.wikidata.org/entity/Q174723	CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O	CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O
http://www.wikidata.org/entity/Q181619	C(CC(=O)N)C(C(=O)O)N	N[C@@H](CCC(N)=O)C(O)=O
http://www.wikidata.org/entity/Q189522	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O	COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O
http://www.wikidata.org/entity/Q192454	C1C(C(OC1O)CO)O	C1[C@@H]([C@H](O[C@H]1O)CO)O
http://www.wikidata.org/entity/Q201090	C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
http://www.wikidata.org/entity/Q204030	C1=CC=C(C=C1)C=CCO	C1=CC=C(C=C1)/C=C/CO
http://www.wikidata.org/entity/Q204178	COC(=O)C=CC1=CC=CC=C1	COC(=O)/C=C/C1=CC=CC=C1
http://www.wikidata.org/entity/Q221174	CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C	CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C
http://www.wikidata.org/entity/Q258734	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O	C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)OP(=O)(O)O)O)O)O)O
http://www.wikidata.org/entity/Q259015	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O
http://www.wikidata.org/entity/Q259075	C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O	C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
http://www.wikidata.org/entity/Q259930	CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C	C[C@H]1[C@@H]2CC[C@]3([C@H]([C@]2(CC[C@H]1O)C)[C@@H](C[C@@H]\4[C@@]3(C[C@@H](/C4=C(/CCC=C(C)C)\C(=O)O)OC(=O)C)C)O)C
http://www.wikidata.org/entity/Q267669	C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)OC)OC)CCC(=O)OCCCCCOC(=O)CC[N+]4(CCC5=CC(=C(C=C5C4CC6=CC(=C(C=C6)OC)OC)OC)OC)C.C1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC=C(C=C1)S(=O)(=O)[O-]	[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C2=CC=CC=C2.COC3=CC=C(C[C@@H]4C5=CC(OC)=C(OC)C=C5CC[N@+]4(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]6(C)CCC7=C(C=C(OC)C(OC)=C7)[C@H]6CC8=CC=C(OC)C(OC)=C8)C=C3OC
http://www.wikidata.org/entity/Q273169	CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC	CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC
http://www.wikidata.org/entity/Q283435	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OCC3C(C(C(C(O3)OC4(C(C(C(O4)CO)O)O)CO)O)O)O)O)O)O)O)O)O)O	C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)OC[C@@H]3[C@H]([C@@H]([C@H]([C@H](O3)O[C@]4([C@H]([C@@H]([C@H](O4)CO)O)O)CO)O)O)O)O)O)O)O)O)O)O
http://www.wikidata.org/entity/Q286126	CCC(C)C1C(=C(C(=O)N1)C(=O)C)O	CC[C@H](C)[C@H]1C(=C(C(=O)N1)C(=O)C)O
http://www.wikidata.org/entity/Q287415	CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C
http://www.wikidata.org/entity/Q300850	CCC=CCCO	CC\C=C/CCO
http://www.wikidata.org/entity/Q300852	CC1=CCC2CC1C2(C)C	CC1=CC[C@H]2C[C@@H]1C2(C)C
http://www.wikidata.org/entity/Q303169	CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O	C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O
http://www.wikidata.org/entity/Q311992	CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
http://www.wikidata.org/entity/Q332211	CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C	CC1=CC(=O)CC([C@]1(/C=C/C(=C\C(=O)O)/C)O)(C)C
http://www.wikidata.org/entity/Q335208	C(C1C(C(C(C(O1)O)O)O)O)O	C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O
http://www.wikidata.org/entity/Q347337	C1=CC(=CC=C1C(=O)NCCC(=O)O)N=NC2=CC=C(C(=C2)C(=O)O)O	C1=CC(=CC=C1C(=O)NCCC(=O)O)/N=N/C2=CC=C(C(=C2)C(=O)O)O
http://www.wikidata.org/entity/Q374826	C1CN2CCC1C(C2)OC(=O)N3CCC4=CC=CC=C4C3C5=CC=CC=C5.C(CC(=O)O)C(=O)O	C1CN2CCC1[C@H](C2)OC(=O)N3CCC4=CC=CC=C4[C@@H]3C5=CC=CC=C5.C(CC(=O)O)C(=O)O
http://www.wikidata.org/entity/Q379842	C(C1(C2C3C(N=C(NC34C(C1OC(C4O)(O2)O)O)N)O)O)O	C([C@@]1([C@@H]2[C@@H]3[C@H](N=C(N[C@]34[C@@H]([C@@](O2)(O[C@H]1C4O)O)O)N)O)O)O
http://www.wikidata.org/entity/Q385937	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O
http://www.wikidata.org/entity/Q407560	CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C	CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C
http://www.wikidata.org/entity/Q407635	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O
http://www.wikidata.org/entity/Q408014	CC(=O)NC1C(OC(C(C1COCC2C(C(C(C(O2)C(=O)O)CO)O)O)CS(=O)(=O)O)CO)CO	CC(=O)N[C@H]1[C@@H](O[C@@H]([C@@H]([C@@H]1COC[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)CO)O)O)CS(=O)(=O)O)CO)CO
http://www.wikidata.org/entity/Q408099	CCCC1CC(=O)N(C1)C(CC)C(=O)N	CCC[C@@H]1CC(=O)N(C1)[C@@H](CC)C(=O)N
